Date,Price
10/10/12,1.89
10/11/12,1.89
10/12/12,1.84
10/15/12,1.82
10/16/12,1.87
10/17/12,1.92
10/18/12,1.87
10/19/12,1.85
10/22/12,1.86
10/23/12,1.89
10/24/12,1.83
10/25/12,1.83
10/26/12,1.83
10/31/12,1.88
11/1/12,1.95
11/2/12,1.93
11/5/12,2.10
11/6/12,2.08
11/7/12,2.10
11/8/12,2.09
11/9/12,2.02
11/12/12,2.07
11/13/12,2.11
11/14/12,2.09
11/15/12,2.05
11/16/12,2.12
11/19/12,2.19
11/20/12,2.20
11/21/12,2.16
11/23/12,2.14
11/26/12,2.15
11/27/12,2.14
11/28/12,2.22
11/29/12,2.25
11/30/12,2.25
12/3/12,2.31
12/4/12,2.26
12/5/12,2.25
12/6/12,2.26
12/7/12,2.28
12/10/12,2.30
12/11/12,2.35
12/12/12,2.35
12/13/12,2.24
12/14/12,2.25
12/17/12,2.29
12/18/12,2.31
12/19/12,2.31
12/20/12,2.30
12/21/12,2.27
12/24/12,2.29
12/26/12,2.24
12/27/12,2.25
12/28/12,2.21
12/31/12,2.26
1/2/13,2.36
1/3/13,2.32
1/4/13,2.29
1/7/13,2.29
1/8/13,2.25
1/9/13,2.24
1/10/13,2.24
1/11/13,2.19
1/14/13,2.22
1/15/13,2.26
1/16/13,2.27
1/17/13,2.29
1/18/13,2.30
1/22/13,2.35
1/23/13,2.40
1/24/13,2.47
1/25/13,2.47
1/28/13,2.54
1/29/13,2.53
1/30/13,2.50
1/31/13,2.50
2/1/13,2.55
2/4/13,2.52
2/5/13,2.54
2/6/13,2.61
2/7/13,2.63
2/8/13,2.62
2/11/13,2.56
2/12/13,2.53
2/13/13,2.56
2/14/13,2.55
2/15/13,2.47
2/19/13,2.62
2/20/13,2.57
2/21/13,2.34
2/22/13,2.41
2/25/13,2.29
2/26/13,2.30
2/27/13,2.34
2/28/13,2.32
3/1/13,2.31
3/4/13,2.37
3/5/13,2.44
3/6/13,2.51
3/7/13,2.55
3/8/13,2.56
3/11/13,2.61
3/12/13,2.61
3/13/13,2.60
3/14/13,2.46
3/15/13,2.35
3/18/13,2.34
3/19/13,2.34
3/20/13,2.40
3/21/13,2.40
3/22/13,2.44
3/25/13,2.50
3/26/13,2.52
3/27/13,2.54
3/28/13,2.53
4/1/13,2.93
4/2/13,2.96
4/3/13,2.74
4/4/13,2.80
4/5/13,2.76
4/8/13,2.79
4/9/13,2.70
4/10/13,2.79
4/11/13,2.91
4/12/13,2.92
4/15/13,2.89
4/16/13,3.04
4/17/13,3.03
4/18/13,3.13
4/19/13,3.19
4/22/13,3.35
4/23/13,3.40
4/24/13,3.36
4/25/13,3.47
4/26/13,3.41
4/29/13,3.66
4/30/13,3.60
5/1/13,3.55
5/2/13,3.61
5/3/13,3.64
5/6/13,3.97
5/7/13,3.70
5/8/13,3.72
5/9/13,4.63
5/10/13,5.12
5/13/13,5.85
5/14/13,5.55
5/15/13,5.66
5/16/13,6.15
5/17/13,6.10
5/20/13,6.00
5/21/13,5.84
5/22/13,5.82
5/23/13,6.18
5/24/13,6.47
5/28/13,7.36
5/29/13,6.98
5/30/13,7.00
5/31/13,6.52
6/3/13,6.17
6/4/13,6.32
6/5/13,6.36
6/6/13,6.49
6/7/13,6.80
6/10/13,6.67
6/11/13,6.30
6/12/13,6.52
6/13/13,6.55
6/14/13,6.69
6/17/13,6.81
6/18/13,6.89
6/19/13,6.98
6/20/13,6.71
6/21/13,6.64
6/24/13,6.77
6/25/13,6.83
6/26/13,7.05
6/27/13,7.28
6/28/13,7.16
7/1/13,7.81
7/2/13,7.85
7/3/13,7.68
7/5/13,8.01
7/8/13,8.11
7/9/13,8.23
7/10/13,8.15
7/11/13,8.37
7/12/13,8.66
7/15/13,8.48
7/16/13,7.27
7/17/13,8.02
7/18/13,7.94
7/19/13,7.98
7/22/13,8.16
7/23/13,8.18
7/24/13,8.11
7/25/13,8.27
7/26/13,8.63
7/29/13,8.97
7/30/13,8.78
7/31/13,8.95
8/1/13,9.04
8/2/13,9.20
8/5/13,9.65
8/6/13,9.48
8/7/13,8.95
8/8/13,10.23
8/9/13,10.20
8/12/13,9.83
8/13/13,9.70
8/14/13,9.29
8/15/13,9.31
8/16/13,9.47
8/19/13,9.66
8/20/13,9.97
8/21/13,9.86
8/22/13,10.47
8/23/13,10.79
8/26/13,10.95
8/27/13,11.13
8/28/13,11.10
8/29/13,11.07
8/30/13,11.27
9/3/13,11.26
9/4/13,11.37
9/5/13,11.33
9/6/13,11.13
9/9/13,10.71
9/10/13,11.09
9/11/13,10.90
9/12/13,11.00
9/13/13,11.04
9/16/13,11.11
9/17/13,11.08
9/18/13,11.08
9/19/13,11.86
9/20/13,12.23
9/23/13,12.07
9/24/13,12.16
9/25/13,12.35
9/26/13,12.58
9/27/13,12.73
9/30/13,12.89
10/1/13,12.87
10/2/13,12.06
10/3/13,11.55
10/4/13,12.07
10/7/13,12.20
10/8/13,11.65
10/9/13,11.25
10/10/13,11.53
10/11/13,11.91
10/14/13,11.98
10/15/13,12.26
10/16/13,12.24
10/17/13,12.19
10/18/13,12.23
10/21/13,11.51
10/22/13,11.44
10/23/13,10.97
10/24/13,11.54
10/25/13,11.31
10/28/13,10.86
10/29/13,10.96
10/30/13,10.61
10/31/13,10.66
11/1/13,10.81
11/4/13,11.68
11/5/13,11.79
11/6/13,10.08
11/7/13,9.32
11/8/13,9.20
11/11/13,9.65
11/12/13,9.19
11/13/13,9.25
11/14/13,9.17
11/15/13,9.03
11/18/13,8.11
11/19/13,8.41
11/20/13,8.07
11/21/13,8.14
11/22/13,8.09
11/25/13,8.06
11/26/13,8.03
11/27/13,8.46
11/29/13,8.49
12/2/13,8.28
12/3/13,9.65
12/4/13,9.26
12/5/13,9.37
12/6/13,9.16
12/9/13,9.44
12/10/13,9.48
12/11/13,9.31
12/12/13,9.83
12/13/13,9.84
12/16/13,9.86
12/17/13,10.16
12/18/13,9.87
12/19/13,9.38
12/20/13,9.55
